Step, Time, BitDepth, HoleDepth, blockPosition. JointLength, hookload, DWOB, Torque, RPM, PumpPress, FlowRate
Step 3 Kelly, 67550, 4943.98056907524, 4982.6, 71.9194309247475, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67600, 4944.02268813177, 4982.6, 71.8773118682144, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67650, 4944.0648071883, 4982.6, 71.8351928116813, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67700, 4944.10692624484, 4982.6, 71.7930737551481, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67750, 4944.14904530137, 4982.6, 71.750954698615, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67800, 4944.18882441032, 4982.6, 71.711175589667, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67850, 4944.23094346685, 4982.6, 71.6690565331339, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67900, 4944.27306252338, 4982.6, 71.6269374766008, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 67950, 4944.31518157992, 4982.6, 71.5848184200676, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68000, 4944.35730063645, 4982.6, 71.5426993635345, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68050, 4944.3970797454, 4982.6, 71.5029202545865, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68100, 4944.43919880193, 4982.6, 71.4608011980534, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68150, 4944.48131785846, 4982.6, 71.4186821415203, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68200, 4944.523436915, 4982.6, 71.3765630849871, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68250, 4944.56555597153, 4982.6, 71.334444028454, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68300, 4944.60533508048, 4982.6, 71.294664919506, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68350, 4944.64745413701, 4982.6, 71.2525458629729, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68400, 4944.68957319354, 4982.6, 71.2104268064397, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68450, 4944.73169225008, 4982.6, 71.1683077499066, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68500, 4944.77381130661, 4982.6, 71.1261886933735, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68550, 4944.81359041556, 4982.6, 71.0864095844255, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68600, 4944.85570947209, 4982.6, 71.0442905278924, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68650, 4944.89782852862, 4982.6, 71.0021714713592, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68700, 4944.93994758516, 4982.6, 70.9600524148261, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68750, 4944.98206664169, 4982.6, 70.917933358293, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68800, 4945.02418569822, 4982.6, 70.8758143017598, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68850, 4945.06396480717, 4982.6, 70.8360351928119, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68900, 4945.1060838637, 4982.6, 70.7939161362787, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 68950, 4945.14820292024, 4982.6, 70.7517970797456, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69000, 4945.19032197677, 4982.6, 70.7096780232124, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69050, 4945.2324410333, 4982.6, 70.6675589666793, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69100, 4945.27222014225, 4982.6, 70.6277798577314, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69150, 4945.31433919878, 4982.6, 70.5856608011982, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69200, 4945.35645825532, 4982.6, 70.5435417446651, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69250, 4945.39857731185, 4982.6, 70.5014226881319, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69300, 4945.44069636838, 4982.6, 70.4593036315988, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69350, 4945.48047547733, 4982.6, 70.4195245226508, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69400, 4945.52259453386, 4982.6, 70.3774054661177, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69450, 4945.5647135904, 4982.6, 70.3352864095846, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69500, 4945.60683264693, 4982.6, 70.2931673530514, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69550, 4945.64895170346, 4982.6, 70.2510482965183, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69600, 4945.68873081241, 4982.6, 70.2112691875703, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69650, 4945.73084986894, 4982.6, 70.1691501310372, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69700, 4945.77296892548, 4982.6, 70.1270310745041, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69750, 4945.81508798201, 4982.6, 70.0849120179709, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69800, 4945.85720703854, 4982.6, 70.0427929614378, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69850, 4945.89698614749, 4982.6, 70.0030138524898, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69900, 4945.93910520402, 4982.6, 69.9608947959567, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 69950, 4945.98122426056, 4982.6, 69.9187757394236, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70000, 4946.02334331709, 4982.6, 69.8766566828904, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70050, 4946.06546237362, 4982.6, 69.8345376263573, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70100, 4946.10758143016, 4982.6, 69.7924185698241, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70150, 4946.1473605391, 4982.6, 69.7526394608762, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70200, 4946.18947959564, 4982.6, 69.710520404343, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70250, 4946.23159865217, 4982.6, 69.6684013478099, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70300, 4946.2737177087, 4982.6, 69.6262822912768, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70350, 4946.31583676524, 4982.6, 69.5841632347436, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70400, 4946.35561587418, 4982.6, 69.5443841257957, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70450, 4946.39773493072, 4982.6, 69.5022650692625, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70500, 4946.43985398725, 4982.6, 69.4601460127294, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70550, 4946.48197304378, 4982.6, 69.4180269561963, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70600, 4946.52409210032, 4982.6, 69.3759078996631, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70650, 4946.56387120926, 4982.6, 69.3361287907152, 0, 143593.077481391, 0, 0, 0, 0, 0
Step 3 Kelly, 70700, 4946.6059902658, 4982.6, 69.294009734182, 0, 143593.077481391, 0, 0, 0, 0, 0
